"state_code","territorial_elast","territorial_status","territorial_pval","territorial_r2","consumption_elast","consumption_status","consumption_pval","consumption_r2","difference","status_match"
"OH",-0.890355749148528,"Absolute Decoupling",0.0354131086076018,0.538228939326021,-0.635005812422523,"Absolute Decoupling",0.117679895614623,0.429944934482518,0.255349936726005,TRUE
"AR",-0.973881677252047,"Absolute Decoupling",0.0775477298696639,0.1835406561218,-0.725019613107689,"Absolute Decoupling",0.0224946843729544,0.318819561514668,0.248862064144359,TRUE
"HI",-0.000508823724267218,"Absolute Decoupling",0.99493129109573,5.39315738685701e-06,0.240292876305338,"Relative Decoupling",0.119761822135974,0.303286433198686,0.240801700029606,FALSE
"MO",-1.34178458355784,"Absolute Decoupling",0.0283890949586195,0.360726680516515,-1.10808914415446,"Absolute Decoupling",0.00577935185665994,0.565845835579442,0.233695439403379,TRUE
"MA",-0.46885781760197,"Absolute Decoupling",0.00103734940900494,0.642206813384839,-0.248946874409178,"Absolute Decoupling",0.033325173844331,0.480316937298215,0.219910943192791,TRUE
"WI",-0.00505293834081062,"Absolute Decoupling",0.991309298547656,2.66525839995568e-05,0.21223263825934,"Relative Decoupling",0.500086505993434,0.0928389505319536,0.21728557660015,FALSE
"MN",-0.354309090379563,"Absolute Decoupling",0.30971814499889,0.0898681313064154,-0.158550863159208,"Absolute Decoupling",0.596116358243241,0.0501052484277491,0.195758227220355,TRUE
"OK",-0.720275621556007,"Absolute Decoupling",0.014828720627848,0.47474246251398,-0.585406394588452,"Absolute Decoupling",0.061877450154802,0.331752406833891,0.134869226967555,TRUE
"RI",0.203345836834558,"Relative Decoupling",0.637869006900809,0.00802211649320767,0.330835307897676,"Relative Decoupling",0.331735751017525,0.0742140063495918,0.127489471063118,TRUE
"FL",-0.514988103098785,"Absolute Decoupling",0.017749239686483,0.694295083341851,-0.424264590461778,"Absolute Decoupling",0.164622613068556,0.23693820302594,0.0907235126370078,TRUE
"GA",-0.637145222903694,"Absolute Decoupling",0.0215014076383257,0.658396395935286,-0.550859202665139,"Absolute Decoupling",0.0196847035810063,0.529520661653791,0.0862860202385547,TRUE
"KS",-0.920450169945548,"Absolute Decoupling",0.0123332455865844,0.706362015365746,-0.886077089758711,"Absolute Decoupling",0.00468754295758473,0.713344301092623,0.0343730801868368,TRUE
"MT",0.208844309555392,"Relative Decoupling",0.726483937678124,0.011793524880799,0.0751382036103829,"Relative Decoupling",0.640379786347642,0.00481385078472074,-0.133706105945009,TRUE
"TX",-0.445708623403693,"Absolute Decoupling",0.035160801310298,0.328250800121824,-0.603345707317799,"Absolute Decoupling",0.0310559180400854,0.438988265555693,-0.157637083914106,TRUE
"ID",0.0452574516064647,"Relative Decoupling",0.696028309951466,0.0161578755442978,-0.139635304200646,"Absolute Decoupling",0.574097442553386,0.0911966583162135,-0.184892755807111,FALSE
"WA",0.157524056656872,"Relative Decoupling",0.414455907071748,0.139416406607292,-0.0421234438261062,"Absolute Decoupling",0.750832938036693,0.015744604765352,-0.199647500482978,FALSE
"DE",0.469368267681373,"Relative Decoupling",0.306592036227154,0.119237213691811,0.185191624638424,"Relative Decoupling",0.525613131402344,0.0616601890366436,-0.284176643042949,TRUE
"VT",0.550922305124735,"Relative Decoupling",0.0895151041717648,0.231994797217672,0.194941324521198,"Relative Decoupling",0.156332650021912,0.10319465060405,-0.355980980603537,TRUE
"SD",-0.438811541776118,"Absolute Decoupling",0.779227988909131,0.0104450974535293,-0.838796374534969,"Absolute Decoupling",0.384926049075384,0.120860254101387,-0.399984832758851,TRUE
"IA",-0.575645574886312,"Absolute Decoupling",0.0790941831958275,0.171122977124447,-1.2088127280615,"Absolute Decoupling",0.00664405627124653,0.484607106705787,-0.633167153175192,TRUE
"NJ",-0.0640561121035176,"Absolute Decoupling",0.842014227619329,0.00463760381410458,-0.795477647980318,"Absolute Decoupling",0.0335899014412751,0.495281490200531,-0.731421535876801,TRUE
"NE",-0.277445934400873,"Absolute Decoupling",0.492095790844972,0.0700675025086761,-1.33010482449967,"Absolute Decoupling",0.071390783871993,0.387729574434098,-1.0526588900988,TRUE
"VA",-0.531846051112654,"Absolute Decoupling",0.0957463529224607,0.193875181342999,-1.72885119799569,"Absolute Decoupling",0.21098525394636,0.173613784002418,-1.19700514688304,TRUE
"CT",0.924722908642469,"Relative Decoupling",0.133521601674856,0.171930348368121,-0.349286212322594,"Absolute Decoupling",0.302065450510555,0.0544243128068917,-1.27400912096506,FALSE
"MS",0.75739778911579,"Relative Decoupling",0.0696126608803415,0.333433230263492,-0.522870111474863,"Absolute Decoupling",0.196980797471029,0.180391560150392,-1.28026790059065,FALSE
"LA",0.835475088746749,"Relative Decoupling",0.0135151051781389,0.423214653921747,-0.610890673988009,"Absolute Decoupling",0.326151313114002,0.120106826462998,-1.44636576273476,FALSE
